VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,LongitudeF,Longitude,Latitude,elevation,elev_units
Aedes albopictus,41302,published,point,-999,2010,Haiti,HTI,108,-74,-74.12,18.65,81,meters
Aedes albopictus,41297,published,point,-999,2010,Haiti,HTI,108,-73,-73.86,18.33,234,meters
Aedes albopictus,41305,published,point,-999,2010,Haiti,HTI,108,-72,-72.1,18.83,143,meters
Aedes albopictus,40281,published,point,-999,1994,Dominican Republic,DOM,72,-69,-69.93,18.52,27,meters
Aedes albopictus,39932,published,point,-999,,Puerto Rico,PRI,200,-66,-66.31,18.18,644,meters
Aedes albopictus,41627,published,point,-999,2002,India,IND,115,72,72.93,18.54,26,meters
Aedes albopictus,41626,published,point,-999,2002,India,IND,115,73,73.42,18.08,36,meters
Aedes albopictus,40353,published,point,-999,1974,India,IND,115,75,75.69,18.24,519,meters
Aedes albopictus,40126,published,point,-999,1992,India,IND,115,82,82.36,23.19,625,meters
Aedes albopictus,40351,published,point,-999,1999,India,IND,115,84,84.81,22.23,191,meters
Aedes albopictus,40374,published,point,-999,1964,India,IND,115,88,88.31,22.59,6,meters
Aedes albopictus,40409,published,point,-999,2001,Bangladesh,BGD,23,90,90.41,23.71,12,meters
Aedes albopictus,40918,published,point,-999,2004,Thailand,THA,240,98,98.55,16.75,207,meters
Aedes albopictus,41436,published,point,-999,,Thailand,THA,240,99,99.01,18.58,292,meters
Aedes albopictus,41434,published,point,-999,,Thailand,THA,240,100,100.14,18.14,155,meters
Aedes albopictus,40296,published,point,-999,2005,Thailand,THA,240,101,101.9,15.08,201,meters
Aedes albopictus,40622,published,point,-999,,China,CHN,53,102,102.48,23.69,1506,meters
Aedes albopictus,41161,published,point,-999,2009,Lao People's Democratic Republic,LAO,139,104,104.95,17.1,147,meters
Aedes albopictus,41180,published,point,-999,2010,Lao People's Democratic Republic,LAO,139,105,105.17,17.6,158,meters
Aedes albopictus,41660,published,point,-999,2007,Viet Nam,VNM,1011447,106,106.36,20.33,2,meters
Aedes albopictus,40619,published,point,-999,,China,CHN,53,108,108.31,22.83,87,meters
Aedes albopictus,40618,published,point,-999,,China,CHN,53,109,109.11,21.48,2,meters
Aedes albopictus,40617,published,point,-999,,China,CHN,53,110,110.34,20.04,8,meters
Aedes albopictus,41107,published,point,-999,2011,China,CHN,53,113,113.37,23.04,5,meters
Aedes albopictus,41062,published,point,-999,2006,Hong Kong,HKG,33364,114,114.21,22.34,135,meters
Aedes albopictus,40623,published,point,-999,,China,CHN,53,116,116.86,23.85,44,meters
Aedes albopictus,41027,published,point,-999,1987,China,CHN,53,120,120.3,22.61,9,meters
Aedes albopictus,40716,published,point,-999,1997,China,CHN,53,121,121.5,25,31,meters
Aedes albopictus,40396,published,point,-999,1974,Northern Mariana Islands,MNP,185,145,145.72,15.14,49,meters
Aedes albopictus,40818,published,point,-999,2001,United States of America,USA,259,-118,-118.2,33.77,3,meters
Aedes albopictus,40822,published,point,-999,2001,United States of America,USA,259,-117,-117.7,34.01,199,meters
Aedes albopictus,40927,published,point,-999,2005,United States of America,USA,259,-104,-104.23,32.42,952,meters
Aedes albopictus,40324,published,point,-999,1993,Mexico,MEX,1006344,-101,-101.52,27.88,491,meters
Aedes albopictus,40439,published,point,-999,1992,United States of America,USA,259,-100,-100.41,29.31,347,meters
Aedes albopictus,40428,published,point,-999,1992,United States of America,USA,259,-99,-99.1,28.88,183,meters
Aedes albopictus,40417,published,point,-999,1992,United States of America,USA,259,-98,-98.68,27.31,172,meters
Aedes albopictus,40421,published,point,-999,1992,United States of America,USA,259,-97,-97.27,28.3,17,meters
Aedes albopictus,40450,published,point,-999,1992,United States of America,USA,259,-96,-96.91,29.68,103,meters
Aedes albopictus,40597,published,point,-999,1989,United States of America,USA,259,-95,-95.33,29.5,19,meters
Aedes albopictus,40575,published,point,-999,1987,United States of America,USA,259,-94,-94.97,29.73,10,meters
Aedes albopictus,39878,published,point,-999,1987,United States of America,USA,259,-93,-93.22,30.23,7,meters
Aedes albopictus,40135,published,point,-999,1990,United States of America,USA,259,-92,-92.53,31.32,26,meters
Aedes albopictus,40578,published,point,-999,1987,United States of America,USA,259,-91,-91.15,30.46,24,meters
Aedes albopictus,40047,published,point,-999,1986,United States of America,USA,259,-90,-90.65,29.97,8,meters
Aedes albopictus,40594,published,point,-999,1989,United States of America,USA,259,-89,-89.91,30.03,4,meters
Aedes albopictus,40013,published,point,-999,1990,United States of America,USA,259,-88,-88.05,30.69,9,meters
Aedes albopictus,40844,published,point,-999,,United States of America,USA,259,-87,-87.28,30.52,44,meters
Aedes albopictus,40147,published,point,-999,1991,United States of America,USA,259,-86,-86.56,30.46,19,meters
Aedes albopictus,40133,published,point,-999,1990,United States of America,USA,259,-85,-85.47,29.99,10,meters
Aedes albopictus,40846,published,point,-999,,United States of America,USA,259,-84,-84.2,33.94,310,meters
Aedes albopictus,40165,published,point,-999,1992,United States of America,USA,259,-83,-83.18,30.97,64,meters
Aedes albopictus,40315,published,point,-999,1993,United States of America,USA,259,-82,-82.83,34.69,233,meters
Aedes albopictus,40034,published,point,-999,1994,United States of America,USA,259,-81,-81.94,28.04,48,meters
Aedes albopictus,40863,published,point,-999,2001,United States of America,USA,259,-80,-80.66,26.82,5,meters
Aedes albopictus,40060,published,point,-999,1987,United States of America,USA,259,-79,-79.78,34.94,75,meters
Aedes albopictus,40807,published,point,-999,1998,United States of America,USA,259,-77,-77.95,34.22,1,meters
Aedes albopictus,41252,published,point,-999,2007,Israel,ISR,121,34,34.91,32.02,50,meters
Aedes albopictus,41202,published,point,-999,2010,Lebanon,LBN,141,35,35.54,33.79,620,meters
Aedes albopictus,41210,published,point,-999,2010,Lebanon,LBN,141,36,36.39,34.4,675,meters
Aedes albopictus,40393,published,point,-999,1993,Pakistan,PAK,188,71,71.54,33.69,786,meters
Aedes albopictus,41013,published,point,-999,2007,India,IND,115,73,73.02,26.28,246,meters
Aedes albopictus,41015,published,point,-999,2007,India,IND,115,75,75.81,26.91,438,meters
Aedes albopictus,41370,published,point,-999,2009,India,IND,115,77,77.21,28.67,220,meters
Aedes albopictus,39943,published,point,-999,1994,India,IND,115,78,78.17,29.97,362,meters
Aedes albopictus,41557,published,point,-999,2009,India,IND,115,79,79.52,29.08,266,meters
Aedes albopictus,40713,published,point,-999,1991,Nepal,NPL,175,86,86.03,27.05,333,meters
Aedes albopictus,41231,published,point,-999,,Bhutan,BTN,31,89,89.39,26.86,432,meters
Aedes albopictus,39950,published,point,-999,1997,India,IND,115,90,90.65,25.51,349,meters
Aedes albopictus,39955,published,point,-999,1997,India,IND,115,91,91.75,26.18,72,meters
Aedes albopictus,41117,published,point,-999,2011,India,IND,115,92,92.59,26.49,65,meters
Aedes albopictus,41123,published,point,-999,2011,India,IND,115,93,93.73,26.94,84,meters
Aedes albopictus,39962,published,point,-999,1997,India,IND,115,94,94.11,27.24,94,meters
Aedes albopictus,39966,published,point,-999,1997,India,IND,115,95,95.62,27.39,159,meters
Aedes albopictus,42043,published,point,-999,2006-2008,China,CHN,53,102,102.9118365,29.78097984,1543,meters
Aedes albopictus,40708,published,point,-999,1990,China,CHN,53,103,103.48,29.6,435,meters
Aedes albopictus,40627,published,point,-999,,China,CHN,53,104,104.07,30.67,500,meters
Aedes albopictus,42046,published,point,-999,2006-2008,China,CHN,53,105,105.9652129,32.15582816,886,meters
Aedes albopictus,42051,published,point,-999,2006-2008,China,CHN,53,106,106.2960934,33.90892119,1078,meters
Aedes albopictus,40800,published,point,-999,,China,CHN,53,107,107.89,25.41,506,meters
Aedes albopictus,40887,published,point,-999,2002,China,CHN,53,108,108.92,27.24,451,meters
Aedes albopictus,42048,published,point,-999,2006-2008,China,CHN,53,109,109.355353,34.90318057,471,meters
Aedes albopictus,40709,published,point,-999,1994,China,CHN,53,110,110.28,25.28,161,meters
Aedes albopictus,40499,published,point,-999,1973,China,CHN,53,112,112.58,33.03,138,meters
Aedes albopictus,40630,published,point,-999,,China,CHN,53,113,113.65,34.77,104,meters
Aedes albopictus,40942,published,point,-999,2006,China,CHN,53,114,114.28,30.57,32,meters
Aedes albopictus,40625,published,point,-999,,China,CHN,53,119,119.3,26.07,25,meters
Aedes albopictus,40732,published,point,-999,,China,CHN,53,120,120.12,30.28,23,meters
Aedes albopictus,40716,published,point,-999,1997,China,CHN,53,121,121.5,25,31,meters
Aedes albopictus,41138,published,point,-999,2011,"Korea, Republic of",KOR,1011443,126,126.56,33.25,82,meters
Aedes albopictus,40508,published,point,-999,1979,Japan,JPN,126,127,127.7,26.2,34,meters
Aedes albopictus,40737,published,point,-999,1999,Japan,JPN,126,128,128.17,26.74,44,meters
Aedes albopictus,40639,published,point,-999,1990,Japan,JPN,126,129,129.9,33.54,13,meters
Aedes albopictus,40069,published,point,-999,1988,Japan,JPN,126,130,130.56,31.59,2,meters
Aedes albopictus,40558,published,point,-999,,Japan,JPN,126,134,134.98,34.8,75,meters
Aedes albopictus,41541,published,point,-999,2004,Japan,JPN,126,136,136.52,34.74,2,meters
Aedes albopictus,40828,published,point,-999,2001,United States of America,USA,259,-122,-122.42,37.66,62,meters
Aedes albopictus,40827,published,point,-999,2001,United States of America,USA,259,-121,-121.6,37.09,87,meters
Aedes albopictus,40891,published,point,-999,2004,United States of America,USA,259,-104,-104.81,40.09,1503,meters
Aedes albopictus,40139,published,point,-999,1990,United States of America,USA,259,-97,-97.39,35.42,386,meters
Aedes albopictus,40730,published,point,-999,1992,United States of America,USA,259,-96,-96.72,41.83,406,meters
Aedes albopictus,40581,published,point,-999,1987,United States of America,USA,259,-94,-94.58,39.1,261,meters
Aedes albopictus,40564,published,point,-999,1989,United States of America,USA,259,-90,-90.75,37.98,305,meters
Aedes albopictus,40723,published,point,-999,1998,United States of America,USA,259,-89,-89.63,40.69,169,meters
Aedes albopictus,40695,published,point,-999,1995,United States of America,USA,259,-88,-88.15,38.87,149,meters
Aedes albopictus,40006,published,point,-999,,United States of America,USA,259,-87,-87.57,37.98,117,meters
Aedes albopictus,40965,published,point,-999,2005,United States of America,USA,259,-86,-86.53,39.17,245,meters
Aedes albopictus,40063,published,point,-999,1987,United States of America,USA,259,-85,-85.01,39.23,291,meters
Aedes albopictus,40729,published,point,-999,1999,United States of America,USA,259,-84,-84.13,36.1,275,meters
Aedes albopictus,40308,published,point,-999,2001,United States of America,USA,259,-83,-83.3,35.51,758,meters
Aedes albopictus,40792,published,point,-999,1999,United States of America,USA,259,-82,-82.61,37.01,736,meters
Aedes albopictus,40236,published,point,-999,1996,United States of America,USA,259,-81,-81.21,35.01,217,meters
Aedes albopictus,40314,published,point,-999,2003,United States of America,USA,259,-78,-78.65,35.79,95,meters
Aedes albopictus,40795,published,point,-999,1999,United States of America,USA,259,-77,-77.5,37.24,62,meters
Aedes albopictus,40722,published,point,-999,1998,United States of America,USA,259,-76,-76.97,38.26,-1,meters
Aedes albopictus,40752,published,point,-999,2000,United States of America,USA,259,-75,-75.21,40.02,62,meters
Aedes albopictus,40686,published,point,-999,1995,United States of America,USA,259,-74,-74.2,40.43,6,meters
Aedes albopictus,41971,published,point,-999,2004,Spain,ESP,229,-2,-2.08,41.47,989,meters
Aedes albopictus,41968,published,point,-999,2004,Spain,ESP,229,2,2.07,41.48,148,meters
Aedes albopictus,41857,published,point,-999,1991,Italy,ITA,122,8,8.97,44.4,49,meters
Aedes albopictus,42018,published,point,-999,1994,Italy,ITA,122,9,9.11,39.22,17,meters
Aedes albopictus,41894,published,point,-999,1996,Italy,ITA,122,10,10.61,43.71,9,meters
Aedes albopictus,41933,published,point,-999,2000,Italy,ITA,122,11,11.84,42.03,9,meters
Aedes albopictus,41936,published,point,-999,2007,Italy,ITA,122,12,12.89,41.94,754,meters
Aedes albopictus,41965,published,point,-999,2000,Italy,ITA,122,13,13.33,41.57,157,meters
Aedes albopictus,41992,published,point,-999,1994,Italy,ITA,122,14,14.28,40.85,11,meters
Aedes albopictus,41977,published,point,-999,1979,Albania,ALB,3,19,19.83,41.33,141,meters
Aedes albopictus,41998,published,point,-999,1979,Albania,ALB,3,20,20.79,40.62,898,meters
Aedes albopictus,41140,published,point,-999,2011,Turkey,TUR,249,26,26.65,40.89,51,meters
Aedes albopictus,42054,published,point,-999,2006-2008,China,CHN,53,110,110.3623593,35.38756334,463,meters
Aedes albopictus,42055,published,point,-999,2006-2008,China,CHN,53,111,111.0634396,35.7381035,930,meters
Aedes albopictus,42060,published,point,-999,2006-2008,China,CHN,53,113,113.6218904,37.59671384,1010,meters
Aedes albopictus,42063,published,point,-999,2006-2008,China,CHN,53,114,114.4428044,37.78707072,96,meters
Aedes albopictus,42064,published,point,-999,2006-2008,China,CHN,53,116,116.1560164,39.70253683,44,meters
Aedes albopictus,42065,published,point,-999,2006-2008,China,CHN,53,120,120.3438677,41.66559216,290,meters
Aedes albopictus,42066,published,point,-999,2006-2008,China,CHN,53,123,123.684631,42.29614932,54,meters
Aedes albopictus,39875,published,point,-999,2003,"Korea, Republic of",KOR,1011443,127,127.15,35.82,54,meters
Aedes albopictus,40774,published,point,-999,,Japan,JPN,126,136,136.62,35.37,7,meters
Aedes albopictus,41543,published,point,-999,2004,Japan,JPN,126,137,137.14,36.76,-26,meters
Aedes albopictus,40546,published,point,-999,1986,Japan,JPN,126,139,139.4,35.45,47,meters
Aedes albopictus,40762,published,point,-999,2000,Japan,JPN,126,140,140.96,38.57,19,meters
Aedes albopictus,40767,published,point,-999,2000,Japan,JPN,126,141,141.89,39.27,83,meters
Aedes albopictus,41721,published,point,-999,2000,France,FRA,85,0,-0.68,48.8,165,meters
Aedes albopictus,41746,published,point,-999,2009,France,FRA,85,5,5.19,45.91,248,meters
Aedes albopictus,41778,published,point,-999,2009,France,FRA,85,6,6.25,45.56,461,meters
Aedes albopictus,41815,published,point,-999,1994,Italy,ITA,122,7,7.68,45.08,242,meters
Aedes albopictus,41763,published,point,-999,1996,Italy,ITA,122,8,8.43,45.75,375,meters
Aedes albopictus,41780,published,point,-999,1994,Italy,ITA,122,10,10.22,45.54,144,meters
Aedes albopictus,41770,published,point,-999,1996,Italy,ITA,122,11,11.43,45.69,130,meters
Aedes albopictus,41758,published,point,-999,1993,Italy,ITA,122,12,12.83,45.78,2,meters
Aedes albopictus,41768,published,point,-999,,Italy,ITA,122,13,13.15,45.69,-2,meters
Aedes albopictus,41754,published,point,-999,2004,Croatia,HRV,62,15,15.9,45.79,112,meters